mid,gid
577,0
577,18
578,0
579,0
579,15
579,14
579,18
580,0
580,6
580,15
581,0
581,1
581,9
581,10
582,0
582,1
582,9
582,10
582,11
583,1
583,2
583,4
584,6
584,8
584,4
585,8
585,3
585,4
586,0
586,6
586,9
586,11
587,0
587,1
587,2
587,10
587,11
588,2
588,9
588,10
589,0
589,15
589,5
589,13
590,0
590,6
590,4
591,0
591,17
591,22
591,13
592,0
592,6
593,0
593,15
594,0
594,6
595,0
595,6
595,12
596,0
596,12
596,25
597,2
597,9
597,10
598,0
598,6
598,15
599,0
599,15
600,0
600,9
600,26
600,17
601,0
601,6
602,0
602,12
603,0
603,9
604,0
604,15
604,8
604,3
605,0
605,15
606,6
606,3
606,4
607,0
607,6
607,8
608,0
608,6
608,11
609,0
609,18
610,0
610,17
610,13
610,18
611,6
611,8
611,3
611,4
612,0
612,11
613,0
613,12
614,1
614,2
614,10
614,4
615,8
615,3
615,4
616,6
616,8
616,3
616,4
617,0
617,22
618,0
618,5
619,0
619,15
620,0
620,15
620,17
621,0
621,15
622,8
622,3
622,4
623,0
624,0
624,15
625,1
625,8
625,3
626,0
626,6
626,15
627,0
627,6
627,15
628,0
629,0
630,0
630,9
630,11
631,6
631,1
631,8
631,4
632,0
633,6
633,3
633,19
633,20
634,0
634,8
634,3
634,20
635,0
635,1
635,11
636,0
636,12
637,0
637,15
637,12
638,8
638,3
638,4
639,0
639,9
639,11
640,0
640,15
640,17
640,12
641,0
641,13
641,11
642,0
642,14
642,18
643,0
643,8
643,3
644,0
644,14
644,18
645,0
645,15
646,0
646,6
646,1
647,0
647,11
648,2
648,8
648,9
648,10
649,0
649,6
650,0
650,1
650,15
650,13
651,0
651,1
651,16
651,4
652,0
652,9
653,0
653,10
654,0
654,12
654,3
654,4
655,0
656,0
656,9
656,11
657,8
657,10
657,3
658,0
658,1
658,15
658,19
658,20
659,0
659,12
660,0
660,15
661,0
661,12
661,11
662,1
662,10
662,11
663,0
663,10
663,11
664,6
664,12
664,11
665,0
666,0
666,9
666,10
667,0
667,9
667,10
667,11
668,6
668,8
668,12
669,6
669,8
669,4
670,6
670,8
670,3
670,4
671,0
671,15
671,11
672,9
672,10
672,21
673,0
674,0
674,15
675,0
675,11
676,0
676,15
676,8
677,0
678,0
678,1
678,2
678,9
678,10
679,0
679,9
680,0
680,15
680,3
680,20
681,0
682,0
682,9
682,11
682,3
683,6
683,1
683,4
684,0
684,9
684,11
685,21
686,1
686,2
686,4
687,1
687,3
687,4
688,0
688,12
688,25
689,0
689,15
689,19
690,6
690,8
690,4
691,0
691,9
691,10
691,11
692,0
693,0
693,13
693,14
693,18
694,0
694,9
694,11
695,2
695,24
696,0
696,7
697,0
698,0
698,11
699,0
699,2
700,1
700,11
701,0
701,15
701,8
702,6
702,8
702,3
703,0
703,1
703,2
703,10
703,11
704,0
704,15
704,9
704,18
705,8
705,3
705,4
706,6
706,8
706,3
706,4
707,2
707,10
707,4
708,1
708,2
709,0
709,11
710,0
710,6
710,14
711,6
711,1
711,4
712,0
712,1
712,13
712,14
712,18
713,0
713,6
714,0
714,6
714,15
715,0
715,18
716,0
716,11
717,0
717,10
717,11
718,8
718,7
719,0
720,0
720,10
720,18
720,11
721,1
721,3
721,4
722,0
722,1
722,11
723,0
723,11
724,6
724,8
724,3
725,0
725,1
725,18
726,0
726,12
726,13
726,7
727,1
727,15
727,19
727,20
728,0
729,0
729,14
730,0
730,6
730,15
730,17
730,12
731,1
731,9
731,10
732,1
732,2
733,1
733,10
733,4
734,0
735,0
735,12
736,0
736,11
736,16
737,6
737,1
737,19
737,20
738,6
738,1
738,8
738,4
739,0
739,17
739,13
740,6
740,8
740,4
741,8
741,3
742,0
742,6
742,1
742,11
743,0
743,15
743,8
744,0
744,13
744,14
745,1
745,2
746,1
746,3
746,4
747,1
747,2
747,4
748,0
749,0
749,6
749,11
750,1
750,2
750,21
751,0
751,13
751,14
751,18
752,6
752,1
752,7
753,1
753,3
753,4
754,6
754,8
754,3
754,4
755,0
755,22
756,1
756,2
756,3
756,4
757,0
757,15
757,11
758,0
758,1
758,2
758,4
759,0
760,6
760,1
761,6
761,15
761,22
762,0
762,12
763,0
763,6
763,17
764,6
764,8
764,4
765,1
765,3
765,4
766,0
766,15
766,17
767,0
767,10
767,4
768,0
769,1
769,9
769,10
770,0
770,1
770,2
771,0
771,1
771,2
772,6
772,1
772,15
773,9
773,10
773,21
774,9
774,10
774,21
775,6
775,15
775,8
775,9
775,5
775,3
775,4
776,6
776,8
776,3
777,0
777,1
777,2
777,10
778,0
778,9
778,10
779,0
779,12
780,0
780,15
780,10
780,26
781,0
781,15
782,15
782,22
782,3
783,6
783,1
784,0
784,6
784,8
785,0
785,8
785,18
786,0
786,15
786,18
787,8
787,3
788,8
788,3
788,4
789,0
789,9
789,11
790,9
790,10
790,21
791,0
791,12
792,0
792,2
793,0
793,6
794,0
794,12
795,0
795,6
795,18
796,0
797,0
797,6
798,8
798,9
798,4
799,0
799,11
799,3
800,0
800,11
801,1
801,11
802,0
802,15
802,17
803,0
803,11
804,0
804,2
804,10
805,0
805,6
806,8
806,3
806,4
807,0
807,12
808,0
808,18
809,6
810,1
810,2
811,1
811,9
811,10
812,1
812,2
813,0
813,8
813,25
814,0
814,9
814,11
815,0
815,1
815,4
816,6
816,3
817,0
817,15
817,8
818,6
818,1
818,15
818,20
819,15
819,8
820,0
820,9
820,21
821,6
821,15
821,5
822,0
822,10
822,11
823,6
823,15
824,0
824,8
824,3
825,0
825,6
825,15
825,12
826,0
826,2
826,11
827,0
828,6
829,0
829,10
829,11
830,6
830,8
830,12
831,0
831,6
832,0
832,15
832,13
833,0
833,9
833,11
834,0
834,1
834,2
835,0
835,2
836,2
836,10
836,4
837,6
837,1
837,19
837,20
838,0
838,6
838,8
839,0
839,3
840,0
840,15
841,0
841,15
841,2
842,0
842,10
842,11
843,1
843,10
843,4
844,6
844,8
844,5
845,0
845,22
846,0
846,8
846,3
847,2
847,10
847,21
848,15
848,3
849,6
849,8
849,4
850,0
850,15
850,14
850,18
851,0
851,13
851,14
852,0
852,15
853,0
853,1
853,10
853,4
854,0
854,10
854,11
855,0
855,14
855,18
855,24
856,0
856,11
856,16
857,0
857,6
857,15
858,6
859,0
859,15
859,17
860,0
860,2
861,2
861,10
862,6
862,1
862,2
863,0
863,15
864,6
864,18
865,0
866,1
866,10
866,11
867,0
867,15
868,6
868,15
868,8
868,5
868,3
869,6
869,1
869,8
869,4
870,0
870,12
871,0
871,15
872,0
872,15
872,13
873,0
873,14
874,0
874,15
874,13
875,0
875,13
876,15
877,6
877,8
877,4
878,0
879,0
879,15
879,2
880,0
880,13
881,0
881,15
881,14
882,0
882,15
882,26
883,6
883,8
883,4
884,0
884,12
885,1
885,10
885,4
886,8
886,3
886,4
887,0
887,13
887,14
888,0
888,15
888,18
888,16
889,0
889,9
889,11
890,6
890,8
890,12
890,4
891,0
891,15
891,26
892,10
892,11
893,0
894,0
894,15
894,3
895,0
895,6
896,0
897,0
897,13
897,11
898,1
898,9
898,10
898,11
899,0
899,8
899,12
900,2
900,10
900,21
901,0
902,0
902,9
902,10
902,26
903,0
904,0
904,15
904,26
904,13
905,9
905,10
905,11
906,0
906,6
906,15
906,11
907,0
907,6
907,8
907,12
907,25
907,4
908,0
908,10
908,11
909,0
909,1
909,11
910,0
910,15
910,2
910,8
911,0
911,18
912,0
912,8
913,6
913,12
913,11
914,0
914,11
915,0
915,9
915,21
916,6
916,21
916,3
917,10
917,11
918,0
918,12
919,0
919,1
919,19
920,0
920,6
920,15
920,3
921,0
921,15
922,0
922,15
922,17
923,1
923,2
923,10
923,11
924,6
924,1
924,11
925,6
925,8
925,4
926,0
926,6
926,15
927,6
927,2
927,4
928,0
928,13
928,7
929,0
929,15
929,3
929,20
930,0
930,15
930,9
931,10
931,21
932,0
933,6
933,8
933,9
933,12
933,3
933,4
935,0
935,17
936,0
937,6
937,15
937,2
938,0
939,6
939,15
940,0
941,21
942,0
942,6
942,15
943,6
944,0
945,0
945,4
946,0
946,3
947,6
948,0
948,22
948,13
948,14
949,0
950,0
951,0
951,11
952,0
952,9
952,10
953,0
953,9
954,6
954,15
955,0
956,0
956,20
957,0
957,1
957,11
958,0
958,6
959,0
960,0
960,15
960,17
960,7
961,18
962,10
962,3
963,0
963,11
964,0
964,6
964,9
964,11
965,6
966,6
966,1
966,11
966,4
967,15
968,0
968,10
969,0
969,8
969,22
970,0
970,6
970,15
971,0
971,6
971,4
972,0
973,0
974,0
974,15
975,0
976,0
976,6
976,15
977,0
977,8
977,3
977,4
978,1
978,4
979,0
979,6
980,0
980,9
980,11
981,0
982,0
982,10
982,11
983,8
984,1
984,18
985,0
985,12
986,0
987,0
988,0
988,12
989,9
989,10
989,11
990,6
990,9
990,17
991,0
991,14
991,11
992,6
993,0
994,0
994,8
994,4
995,0
995,9
995,10
996,0
996,22
997,0
998,0
999,0
999,10
999,11
999,16
1000,0
1000,12
1001,0
1002,0
1003,9
1003,10
1003,21
1004,6
1005,0
1006,0
1006,15
1006,13
